"","diff","lwr","upr","padj","sign"
"S12-S7",-51.4699008769718,-57.5209355899174,-45.4188661640261,0,"*"
"S13-S7",-51.0219132433034,-57.0729479562491,-44.9708785303577,0,"*"
"S14-S7",-51.7650928153057,-57.8161275282514,-45.71405810236,0,"*"
"S15-S7",-52.3299815916754,-58.3810163046211,-46.2789468787297,0,"*"
"S16-S7",-50.1712367892343,-56.22227150218,-44.1202020762886,0,"*"
"S17-S7",-51.3320007603438,-57.3830354732895,-45.2809660473981,0,"*"
"S18-S7",-50.4132849588749,-56.4643196718206,-44.3622502459292,0,"*"
"S19-S7",-51.7871942080366,-57.8382289209823,-45.7361594950909,0,"*"
"S20-S7",-51.5382207612805,-57.5892554742262,-45.4871860483348,0,"*"
"S21-S7",-51.8248441135053,-57.875878826451,-45.7738094005596,0,"*"
"S22-S7",-52.3299815916754,-58.381016304621,-46.2789468787297,0,"*"
"S23-S7",-52.3299815916753,-58.381016304621,-46.2789468787296,0,"*"
"S24-S7",-51.9894801396475,-58.0405148525932,-45.9384454267018,0,"*"
"S25-S7",-52.2062874210344,-58.2573221339801,-46.1552527080887,0,"*"
"S26-S7",-52.2671687448503,-58.318203457796,-46.2161340319046,0,"*"
"S27-S7",-52.3299815916753,-58.381016304621,-46.2789468787296,0,"*"
"S28-S7",-51.99174263614,-58.0427773490857,-45.9407079231943,0,"*"
"S29-S7",-52.3299815916753,-58.381016304621,-46.2789468787296,0,"*"
"S30-S7",-51.7440977840915,-57.7951324970372,-45.6930630711458,0,"*"
"unk-S7",-52.3299815916753,-58.381016304621,-46.2789468787296,0,"*"
"S9-S8",-3.39642677436921,-9.4474614873149,2.65460793857649,0.961770612398157,""
"S10-S8",-7.42041992606342,-13.4714546390091,-1.36938521311773,0.00164661817593637,"*"
"S11-S8",-5.7648791815172,-11.8159138944629,0.286155531428495,0.0891007175539803,""
"S12-S8",-6.60421171740396,-12.6552464303497,-0.553177004458266,0.0142099544897887,"*"
"S13-S8",-6.15622408373564,-12.2072587966813,-0.105189370789941,0.039910738263499,"*"
"S14-S8",-6.89940365573787,-12.9504383686836,-0.848368942792171,0.0067744262585856,"*"
"S15-S8",-7.46429243210764,-13.5153271450533,-1.41325771916195,0.00145312327676062,"*"
"S16-S8",-5.30554762966646,-11.3565823426122,0.745487083279232,0.200390952277145,""
"S17-S8",-6.46631160077603,-12.5173463137217,-0.415276887830332,0.0197662970944807,"*"
"S18-S8",-5.54759579930713,-11.5986305122528,0.503438913638568,0.133213863472795,""
"S19-S8",-6.92150504846878,-12.9725397614145,-0.870470335523089,0.0063972593716245,"*"
"S20-S8",-6.67253160171274,-12.7235663146584,-0.621496888767047,0.0120202125286434,"*"
"S21-S8",-6.95915495393746,-13.0101896668832,-0.908120240991765,0.00579916555970506,"*"
"S22-S8",-7.46429243210756,-13.5153271450533,-1.41325771916186,0.00145312327676017,"*"
"S23-S8",-7.46429243210754,-13.5153271450532,-1.41325771916185,0.00145312327676106,"*"
"S24-S8",-7.1237909800797,-13.1748256930254,-1.07275626713401,0.00374409277447163,"*"
"S25-S8",-7.34059826146657,-13.3916329744123,-1.28956354852087,0.00206240153335235,"*"
"S26-S8",-7.40147958528249,-13.4525142982282,-1.3504448723368,0.00173744564536849,"*"
"S27-S8",-7.46429243210755,-13.5153271450532,-1.41325771916185,0.0014531232767615,"*"
"S28-S8",-7.12605347657224,-13.1770881895179,-1.07501876362655,0.00372130145724847,"*"
"S29-S8",-7.46429243210754,-13.5153271450532,-1.41325771916184,0.00145312327676106,"*"
"S30-S8",-6.87840862452367,-12.9294433374694,-0.827373911577972,0.00715163872187008,"*"
"unk-S8",-7.46429243210754,-13.5153271450532,-1.41325771916185,0.00145312327676139,"*"
"S10-S9",-4.02399315169422,-10.0750278646399,2.02704156125148,0.788748323067356,""
"S11-S9",-2.36845240714799,-8.41948712009368,3.6825823057977,0.999890226690276,""
"S12-S9",-3.20778494303475,-9.25881965598045,2.84324976991094,0.981693328803696,""
"S13-S9",-2.75979730936643,-8.81083202231212,3.29123740357927,0.998163252260402,""
"S14-S9",-3.50297688136866,-9.55401159431435,2.54805783157704,0.944935603656301,""
"S15-S9",-4.06786565773844,-10.1189003706841,1.98316905520726,0.770037520417186,""
"S16-S9",-1.90912085529725,-7.96015556824295,4.14191385764844,0.999998938620245,""
"S17-S9",-3.06988482640682,-9.12091953935251,2.98114988653888,0.99014174759771,""
"S18-S9",-2.15116902493792,-8.20220373788361,3.89986568800778,0.999984916088048,""
"S19-S9",-3.52507827409958,-9.57611298704527,2.52595643884612,0.940859822585927,""
"S20-S9",-3.27610482734353,-9.32713954028923,2.77492988560216,0.975760584984269,""
"S21-S9",-3.56272817956825,-9.61376289251394,2.48830653337744,0.933427348195767,""
"S22-S9",-4.06786565773835,-10.118900370684,1.98316905520735,0.770037520417224,""
"S23-S9",-4.06786565773833,-10.118900370684,1.98316905520736,0.770037520417231,""
"S24-S9",-3.72736420571049,-9.77839891865619,2.3236705072352,0.893284008619835,""
"S25-S9",-3.94417148709736,-9.99520620004305,2.10686322584833,0.820790572683012,""
