"","diff","lwr","upr","padj","sign"
"S26-S13",-1.00458518849056,-4.93458836550699,2.92541798852586,0.999999993995496,""
"S27-S13",-1.03457251050929,-4.96457568752571,2.89543066650714,0.999999987404863,""
"S28-S13",-0.821246685355508,-4.75124986237193,3.10875649166091,0.999999999968838,""
"S29-S13",-1.03457251050934,-4.96457568752576,2.89543066650708,0.999999987404863,""
"S30-S13",-0.57176232282797,-4.50176549984439,3.35824085418845,1,""
"unk-S13",-1.03457251050932,-4.96457568752575,2.8954306665071,0.999999987404863,""
"S15-S14",-0.275538254738647,-4.20554143175507,3.65446492227777,1,""
"S16-S14",2.03992773469303,-1.89007544232339,5.96993091170945,0.986697442182345,""
"S17-S14",0.256904379665323,-3.6730987973511,4.18690755668174,1,""
"S18-S14",0.938452038842302,-2.99155113817412,4.86845521585872,0.999999998950012,""
"S19-S14",0.0853527444921749,-3.84465043252425,4.0153559215086,1,""
"S20-S14",0.151325016557287,-3.77867816045913,4.08132819357371,1,""
"S21-S14",0.13007090590619,-3.79993227111023,4.06007408292261,1,""
"S22-S14",-0.298409452157539,-4.22841262917396,3.63159372485888,1,""
"S23-S14",-0.298409452157526,-4.22841262917395,3.6315937248589,1,""
"S24-S14",-0.13469695577618,-4.0647001327926,3.79530622124024,1,""
"S25-S14",0.139498078279165,-3.79050509873726,4.06950125529559,1,""
"S26-S14",-0.268422130138846,-4.19842530715527,3.66158104687758,1,""
"S27-S14",-0.298409452157567,-4.22841262917399,3.63159372485885,1,""
"S28-S14",-0.0850836270037894,-4.01508680402021,3.84491955001263,1,""
"S29-S14",-0.298409452157622,-4.22841262917404,3.6315937248588,1,""
"S30-S14",0.164400735523749,-3.76560244149267,4.09440391254017,1,""
"unk-S14",-0.298409452157606,-4.22841262917403,3.63159372485882,1,""
"S16-S15",2.31546598943168,-1.61453718758474,6.2454691664481,0.934151190100391,""
"S17-S15",0.53244263440397,-3.39756054261245,4.46244581142039,1,""
"S18-S15",1.21399029358095,-2.71601288343547,5.14399347059737,0.999999392033227,""
"S19-S15",0.360890999230822,-3.5691121777856,4.29089417624724,1,""
"S20-S15",0.426863271295935,-3.50313990572049,4.35686644831236,1,""
"S21-S15",0.405609160644837,-3.52439401637158,4.33561233766126,1,""
